Ingreso_Hab_Dia (S),ADR_USD (P),Public_Noct_USD (P),Fotos (P),Mascotas (M)
19,19,17,3,False
62,15.5,17,3,False
45,15,15,2,False
155,18.5,20,2,False
748,31.2,28,15,(en blanco)
644,28,28,15,(en blanco)
784,28,28,15,(en blanco)
392,28,28,15,(en blanco)
468,36,28,15,(en blanco)
408,34,28,15,(en blanco)
740,37,28,15,(en blanco)
863,27.8,28,15,(en blanco)
303,27.6,28,15,(en blanco)
241,26.8,28,15,(en blanco)
602,27.4,28,15,(en blanco)
328,27.3,28,15,(en blanco)
126,14,16,11,False
30,10,10,1,True
34,17,18,3,False
51,51,52,8,False
390,13,13,32,False
78,78,81,5,True
390,13,13,32,False
44,11,9,7,False
11,11,9,7,False
11,11,9,7,False
11,11,9,3,True
15,15,12,4,False
45,15,12,4,False
150,30,16,3,True
33,33,32,5,False
220,31.4,32,4,False
100,20,20,2,False
280,20,20,2,False
10,10,10,3,False
1829,59,115,6,(en blanco)
1652,59,115,6,(en blanco)
1829,59,115,6,(en blanco)
1770,59,115,6,(en blanco)
12.5,12.5,14.5,3,True
1549.5,61.1,67.5,5.5,(en blanco)
11,11,9,1,True
9,9,9,1,True
467.1,33.5,41,15.7,False
253.4,34.7,60.6,12.6,False
355.2,33.6,79.3,11.6,False
490.4,36.4,54,9.8,False
281.4,35.5,41.1,8.8,False
444,39,41.8,12.5,False
635.3,38.5,41.8,14.5,False
562.5,31,36.2,12.7,False
144.7,31.3,37,10.2,False
464.8,27.6,33.9,14.1,False
372.2,33.3,39,15,False
224.2,50,52.2,11.4,False
250.7,21.3,24.7,14.1,False
320,21.4,26,15,False
330.5,28.6,32,15.5,False
348.7,31.2,32.7,14.9,False
349,28.7,30,14.8,False
247,27.5,29,14.5,False
323.8,27,31.8,14.3,False
427.8,24.6,31,14.4,False
408.1,30.5,35.4,14,False
391.4,27.4,32.7,13.8,False
389.4,28.8,32.8,13.5,False
297.7,28.9,34.8,13.5,False
352.1,31.1,55.4,18,False
403,32.5,36.1,14.2,False
283.1,29.4,31.6,14.9,False
203.6,27.3,27.2,12.3,False
159.9,23.2,26.8,11.5,False
244.5,22.9,27.4,16.8,False
244.6,26.2,32.8,18.5,False
257.4,21.7,28.2,15.9,False
199.2,26.1,30.7,13.3,False
203,32.4,65.5,14.8,False
264.7,30.2,40.4,21.8,False
318.7,29,36.9,20.6,False
431.4,34.8,37.4,18.3,False
510.4,34.8,36.3,20.3,False
526.5,33.6,35,18.6,False
418.9,32.2,35.5,21.3,False
376.4,37.7,38.9,20.5,False
418.4,31.3,35.3,20.5,False
506.4,37.2,42.7,20.1,False
456.9,31.8,37.9,19.3,False
425.1,29.4,35.5,18.6,False
431.6,32.9,38.1,18.1,False
439.3,33.6,40,18.4,False
445.3,33.3,38.1,17.6,False
350.8,32.3,31.7,21.3,False
435.3,31.6,32.7,21.3,False
481.1,30.8,29.7,18.8,False
457.2,29.2,27.5,20.4,False
332.7,32.2,31.6,17,False
340.3,31.2,31.5,19.7,False
392.8,28.2,28.8,20.4,False
420.9,29.1,30.6,16.9,False
351.7,30.1,31,16.9,False
431.5,32,34.3,17.2,False
505.9,37.2,39.8,16,False
526.3,30.2,33,18.9,False
210,15,16,14,True
352,22,21,7,False
227.5,15.2,13,14.5,False
199.5,12.5,13,14.5,False
140.3,11.5,11.5,10.8,False
423.1,39.7,41.4,16,False
521.8,42.9,46.3,15.2,False
587.7,44.3,46.9,14.7,False
439,43,45.3,14,False
378.4,42.7,44.8,15.1,False
437.3,38.5,44.1,16.7,False
390,41.5,45.8,16.1,False
536.2,40.1,45.6,16.3,False
490.2,40.3,45.6,15.4,False
518.3,38.3,43.8,14.6,False
519.3,42.4,44.8,15.7,False
450,37.4,42,17.1,False
378,43.7,42.4,16.1,False
499,41.9,43.7,15.1,False
583.3,36.6,36.2,15.9,False
341.9,32.5,33.1,12.9,False
381.9,37.6,34.8,14.6,False
384.6,39.2,36.9,18.8,False
482.8,32.6,33.2,17.7,False
720.1,40.4,40.1,17.7,False
657.1,42.6,42.2,17.4,False
550.8,42,45.1,15,False
695.1,42.2,44.7,16.8,False
561,33,34.8,18.1,False
11,11,10,7,False
195,27.9,23,9,False
268.5,23.1,43,10.5,False
181.7,25.5,35,9.3,False
131,19.9,18,8.3,False
195.3,23,33.7,12.3,False
236.7,32.7,32,14,False
199.8,18.9,17.8,10,False
91.8,30.6,48,14,False
436.9,34.8,41.5,20.5,False
722.2,34.4,48,14,False
525,35,48,14,False
263.3,29.5,37,11,False
253.4,30.4,31.3,12.3,False
313,23.8,28.7,14.7,False
201.7,23.7,45.2,17,False
334,21.4,56.5,15.8,False
227.6,18.2,37.5,13.4,False
300.7,54.2,108.4,14.3,False
196.3,17.4,48.5,15.8,False
68.1,17.7,18.5,12.8,False
100.3,16,17.4,14.2,False
147.6,15.6,17.4,12.1,False
236.8,18,17.7,10.9,False
151.8,16,18.7,10.6,False
274.4,17.5,27.9,12.1,False
430.2,24.6,25.8,17.8,False
196.7,18.1,19.9,14.8,False
203.4,18.9,23.2,10.8,False
149,16.4,18.5,14.9,False
108.4,15.2,16.4,20.1,True
250.6,22.8,25.5,15.8,False
465,20.2,16,9,False
487,20.3,16,9,False
551,22,16,9,False
252,16,12.5,8,False
270,18,16,9,False
468,18,16,9,False
476,17,16,9,False
400,16,16,9,False
226,30.5,22,14,False
272,16,16,9,False
230.5,14.1,17.5,11,False
271.5,16.5,17.5,11,False
14,14,13,6,False
60,12,12,6,False
168,14,15,1,False
11,11,10,11,True
77,11,10,11,True
100,25,22,11,False
129,16.1,16,6,False
245,35,47,8,True
583.3,27.8,47,8,True
108.7,27.2,47,8,True
498.8,22.8,34,9.5,True
133.8,22.4,34,9.5,True
305.5,31.6,34,9.5,True
385,18.3,21,11,False
45,45,47,8,True
170.2,29.6,32.5,6.5,False
524.9,28.7,32.5,6.5,False
113.5,10.5,11.5,7,False
37,37,44.5,5,False
93,18.5,17,11.5,False
52,13,11,8,False
