Ingreso_Hab_Dia (S),ADR_USD (P),Public_Noct_USD (P),Fotos (P),Mascotas (M)
105,15,13,9,False
54.7,25,24,7,False
141,47,48,4,False
18,18,17,7,False
72.5,14.5,19,6,True
303.5,13.8,19,6,True
13,13,13,9,False
22,11,11,8,True
210,12.4,19,6,True
18,18,17,8,False
18,18,17,8,False
18,18,17,8,False
10,10,10,3,False
160,10,10,2,False
60,12,13,3,False
120,12,13,3,False
11,11,10,4,False
34.5,13.5,11,1,False
75,15,10,1,True
30,15,10,1,True
15,15,10,1,True
86,11.3,18,6.5,False
60.5,11,18,6.5,False
23.5,11.8,26,12,False
87.5,10.5,18,6.5,False
71,13.2,18,6.5,False
36,36,35,23,False
13,13,12,3,False
71.5,12.2,13.5,11,False
35.5,11.8,13,8.7,False
130.5,10.9,14,8,False
68,11.3,14,8,False
167,29.3,23.5,13,True
42.5,14.2,11,15,True
121.3,11.1,12.3,7.8,False
725.2,55.7,61.8,12.9,False
809.5,59.6,74.4,14.3,False
1195.2,46.7,52.9,9.5,False
945.5,50.8,56.4,11.6,False
480,40.7,37.1,10,False
742.4,43.1,42.8,13.1,False
613,39.3,42.8,13.2,False
1087.6,43.9,54.1,13.1,False
965.8,40.8,49.9,11.4,False
1464.8,40.3,49.5,12.8,False
1360.6,44.7,52.8,11.5,False
554,26.3,31.7,13.3,False
78,39,34,13,False
76,38,34,13,False
159.5,27.5,22.5,10.5,False
359.9,25.7,22.5,10.5,False
498.2,38.3,34,13,False
272.5,28.4,49.5,7,False
73,36.5,34,13,False
45,45,34,13,False
390.3,37.7,36.7,8,False
84,12,11,10,False
32,32,31.5,9,False
45,45,45,4,False
57,14.3,18,14,False
28,28,30.5,5,False
71.3,11.9,16,6,False
51.7,12.9,16,6,False
159.6,42.7,45.9,13.1,False
311.3,28.7,35.4,13.9,False
380.6,45.2,47.1,12.3,False
248.9,41.4,42.1,10.8,False
221.6,30.4,29.6,13,False
179.1,23.8,23.9,10.9,False
161.3,26.8,26.2,10.2,False
233.6,22.4,22.3,12.3,False
173.4,19,17.1,8.9,False
345,27.1,29.6,11.4,False
297.6,26.1,26.1,11.7,False
402.8,23,30.7,11.3,False
112,12.2,12.6,9.6,False
226.6,12.4,12.2,10.6,False
213,12.6,12.5,10.5,False
113,11.7,12,8.6,False
116,19.5,20.8,8.5,False
28.8,12.9,13.8,9.8,False
269.5,14.8,15,9.8,False
193.4,16,16.8,9.4,False
292,17.8,18.6,8.3,False
280,16.5,17.5,8.3,False
212.6,16,16.9,9.6,False
241.7,14.7,15.7,9.7,False
150.1,19.8,23.6,13.7,False
203.7,18.6,23.9,16.6,False
156.9,20.8,23.6,14,False
156.7,16,19.4,11.8,False
137.6,17.6,20.7,15.1,False
181.2,21.6,23.5,14.7,False
199,18.6,24.3,17.3,False
126.7,16.9,22.4,13.1,False
160.9,19.2,23.2,13.3,False
231.7,21.6,26.9,15.9,False
133.3,19.2,21.3,10.6,False
206.6,18.2,21.3,14.1,False
169.6,24.4,25,11.4,False
132.1,29,28.9,9.6,False
310.3,22,22.4,11.9,False
280.6,22.5,23.7,11.2,False
272.7,23.6,25.5,11.2,False
327.1,22.8,25.8,11.1,False
410.4,24.4,28.2,12.8,False
283.3,26.6,29.9,13,False
257.3,23.1,26.2,12.2,False
325.8,20,24.5,10.2,False
308.6,22.3,26.9,11.9,False
310.9,28.7,31.7,11.6,False
59.1,23.7,25.3,8.5,False
135.8,22.4,27.4,11.1,False
115.9,20.1,22.3,10.4,False
170.9,24.5,27.5,10.5,False
126,23.9,25.4,11.2,False
172.9,21.4,23.5,11.1,False
212.8,22.5,28.5,11.7,False
261.1,20.2,22,12,False
102.1,18.7,19.7,12,False
190.1,18.3,23,10.8,False
260.2,22.2,26.7,12.5,False
169.7,19.8,25.2,10.9,False
486,34.7,38,12,False
302,33.6,38,12,False
850.5,31.5,38,12,False
181.1,21,24.5,9.5,False
510,31.9,38,12,False
201.7,28.8,38,12,False
487.8,30.5,38,12,False
664.9,31.7,38,12,False
789.9,32.9,38,12,False
383.3,27.4,38,12,False
167.4,33.5,38,12,False
347.4,21.6,25.5,8,False
84.5,30.5,28,6.5,False
253.5,30.5,28,6.5,False
144,18,19,3,False
180.5,21.5,20.8,8.5,True
292.7,25.8,23.3,10,False
143.5,16.4,18,9.5,True
97.9,24.4,25.3,11,True
153.1,22,22,7.6,True
293.9,26.5,26.3,11.5,False
166.9,18.7,22,9.1,False
292.7,21.4,23.4,9.5,False
250.9,24.1,25.5,9.5,False
319.1,17.6,20.5,9.3,False
422.5,21.4,24.6,7.9,False
346.1,19.2,22,8.7,True
17,17,14,15,False
36,27,24,3.5,True
496,16,14,3,False
26,26,24.5,10,False
102,17,11,9,True
215.7,47.7,48.3,4.7,False
366,44.6,61.5,5.5,True
333.4,55.8,65,8.5,True
507.2,63.5,78.5,16,True
546.5,32,43.2,10.8,True
397.9,37.3,51.5,11.5,True
246.3,44,58.7,13,True
44.5,29.5,17,10.5,False
132.5,26.5,14,9,False
245.5,33.1,38.5,11,False
214.5,32.3,38.5,11,False
47.7,28.7,30.7,10.7,False
129.5,30.4,38.5,11,False
551,32.4,38.5,11,False
149,33.6,38.5,11,False
130,18.6,19,11,False
39,19.5,22,15,False
26,26,21.5,8,False
296,24,21.5,8,False
36.8,20.3,25.5,8,False
153.3,22,21.3,5.7,False
19.5,19.5,19,8,False
32,32,32,8,True
234.3,16.3,16.3,9.7,False
11,11,11,10,False
236.8,14.8,20,17.8,False
101,15.2,21.8,20.5,False
327.3,20.7,16,13,False
152.8,20.2,15.4,16,False
150.3,20,21.3,13.7,False
692,34.6,34,19.8,False
379.1,22.4,23.4,14.3,False
351,20.4,21.5,14.6,False
407.5,22.3,21.2,10.2,False
301,17.1,17.9,11.9,False
262.3,17.2,17.3,11.8,False
227.2,23.6,24,17.1,False
521,36.1,58,18.4,False
178.8,24.6,32.7,17.7,False
414.7,31.4,49.4,21.6,False
429.6,35.7,44.8,18.5,False
278.5,28.3,38.4,18,False
396.7,36.7,47.6,20.4,False
222,29.2,42,13.6,False
433.5,27.9,51,16.7,False
696,32.1,38.9,16.9,False
225.1,28.5,38.4,22.1,False
369.9,25.6,32.3,20,False
125.5,17.7,17.9,6.7,True
400.2,46.3,50.4,14.4,True
376.2,28.7,36.8,19,False
265.1,25.6,26.2,15.2,False
152.6,25.7,25.8,10.7,False
167.5,20.3,21.1,11.1,False
207.6,21.6,24.9,13.1,False
333.2,20.3,23.4,10.4,False
206,25.9,29.7,14.6,False
187.8,22.2,23.3,11.8,False
338.1,21.4,21.8,14.4,False
401.8,23.5,25.5,15.4,False
55,18.6,20.5,13.5,False
122.3,17.3,23,9,False
45,15.9,18.6,9.6,True
190.7,16.3,21.3,16,False
267.8,18.5,21,14,False
207,18.6,26,14.5,False
119.4,18.8,27.3,15.3,False
383.3,22.3,32,10.5,False
164.6,20.4,31.3,14.3,False
246.5,20.8,33.5,16.5,False
129.8,28.2,32.8,9.6,False
383.5,21.5,23,14,False
197.5,15.7,17.6,9,False
168.2,15,18.3,11.3,False
203.6,17.4,19.8,10.5,False
331.4,24.4,21.8,14,False
381.1,20.1,16.8,12.2,False
374.6,21,22.8,13.8,False
376.1,23.3,25.2,17.8,False
235.3,20.1,24,10.2,False
251.6,18.7,21.3,11.5,False
141.4,24,27.5,15.2,False
352.6,23.4,28.3,14.8,False
529,21,21.5,14.5,False
79.3,21.7,22.7,17,False
210.3,49.6,63.5,11,False
322.7,73.6,79.7,10,False
471.5,26,29.5,14.8,False
433.8,26.6,29.5,14.8,False
339.1,25.1,29.5,14.8,False
297.2,21.8,26.6,14.6,True
363.2,18.1,22.3,14,False
312.3,20.6,24.3,15.7,False
237.8,17.2,22.3,14,False
352.3,18.4,21.8,15,False
575.4,29.2,35,17,False
436.5,24.7,28.3,13.7,False
283.4,21.2,38.3,12,False
189.7,22.8,26,12.5,False
438.7,23.8,25,12,False
255.2,64.5,64.3,9.3,True
660.3,24.5,32,16,False
331,57.1,57.5,12.5,False
20.5,20.5,21,13.5,False
155.6,21.9,33,13,False
377.2,21,29.6,11.6,False
497.3,27.1,37.6,10.9,False
215.7,17.3,26.3,8.5,False
76.3,15.6,27.3,8.7,False
77,16.5,16.5,10,True
51.3,34,30.3,9.7,True
40.3,10.3,10.3,5,False
25,25,22,13,True
86,17,18.5,8.5,False
211.7,29.6,30.7,16,False
134.3,16.1,17,9.7,False
163.3,27.1,27.5,9.3,True
339,20,20.5,11,False
313.5,38.5,38.5,22,False
198,22,16,16,False
82.5,27.5,24.5,11,False
224.7,27,28.7,13,False
283.6,26.7,30.2,15.4,False
223.8,29.9,31.8,14.3,False
496.2,30.4,33.6,15,False
415.3,30,34,17.2,False
68,34,33,14,False
272.1,47.6,48.8,13.8,False
367.1,29.3,35,16,False
504,29.7,37,13.6,False
395.7,27,32,16.3,False
706.8,28.5,39,16.5,False
246.2,22,30.3,12.7,False
578.7,22.8,29.7,15.3,False
373.2,19.9,24.8,11.8,False
327.1,27.4,35.3,12.8,False
466.9,29.6,43.3,15.3,True
632.7,28.5,39,16.5,False
418.2,21.9,26,11.3,False
606,26.3,39,16.5,False
432.1,25.5,31.3,13.3,False
148.9,24.9,26.8,10.8,False
250.3,35.1,43.7,14,False
66,11,10,7,False
52.5,21.5,11.5,8.5,False
42.3,12.8,10,33,False
61,12.5,10,19.8,False
148.8,10.8,10.2,18.3,False
113.7,10.4,10,18.5,False
77.6,11.1,10,20.6,False
296.2,24.6,30.5,6.3,False
267.9,22.9,32.3,9.4,False
303.4,20.9,23,9.3,False
287.3,30.7,30.9,11.6,False
188.5,25.2,30.3,10,False
273,60.6,37.5,10.9,False
141.3,20.2,23.6,10.7,False
349.3,35,39.5,11.3,False
246.1,33.1,28.5,14,False
172.5,24.4,24.3,12.4,False
259.5,30,32.6,12,False
271.4,31.2,33.9,12.7,False
269,19,20.3,5.7,False
187,25.1,23,4.5,False
49.4,10.6,11,10,False
96.5,15.9,15,7.5,False
71.5,11.9,12.4,9.6,False
184,10.8,10,17,False
184.1,28.8,26.7,11.7,False
83.8,14.2,14.4,9.4,False
43.3,11.4,11,8.3,False
141.2,15.1,15.6,10.2,False
130.3,22.1,27.1,9.9,False
309.5,16.2,29,8.7,False
151.3,71.6,73.3,9,(en blanco)
40.5,25.3,28,10.5,False
117,23.5,39.3,15,False
174.5,24.9,48.5,23,False
319,34.8,57.5,26.5,False
92.5,30.3,53.5,22,False
876.1,42.8,64.5,22.5,False
388.1,72.9,87,16.7,False
506.7,58.8,74.5,22,False
426.8,27.1,42.5,13.8,False
429.9,29.8,43.5,13.8,False
11,11,11,4,False
309,22.1,34,10,False
340,28.3,34,10,False
170,34,34,10,False
154,11,10,1,False
185,22.5,21,7,False
231,33,32,13,False
18,9,9,5,True
318.9,19.2,25,10,False
186.5,17.3,22,11.5,False
141,23.5,34,14,False
16,16,10,9,False
278,12,13,8.5,True
245.5,22.2,29,18,False
90.5,21.3,25,13.5,False
71,23.7,31,17,False
144.8,20,20,9.5,False
287.5,20.1,22.5,13,False
453.3,21.8,23.7,10,False
210.3,16.4,18,11.3,False
283.5,21.2,22.5,13,False
470.8,21.7,23.7,10,False
355.6,22.4,23.7,10,False
211.3,18.7,18.3,10.7,False
194.3,17.8,23.7,10,False
377.7,18.7,23.7,10,False
354.1,18.8,23.7,10,False
129,51.5,55,10.5,True
60,60,60,9,True
42,14,14,10,True
32.5,22.5,21.5,5.5,False
57,28.5,26.5,5,False
107,28.5,26.5,5,False
45,22.5,33,19,True
141.6,17.1,18.8,7.6,True
29.3,18,19,12.3,True
40.3,16.3,21.7,7.7,True
244.2,19.3,20.7,8.3,False
597.8,19.3,26.5,10.5,False
89,89,86,7,False
67,13.5,14.5,4.5,False
59,12.7,11.5,13.5,True
56,12,11,4,False
165,11,10,1,False
143,11,10,1,False
103.5,11.5,15,4,False
48.4,14.6,16.5,4.3,False
110,11,10,1,False
130,10,10,1,False
135,10,9.5,1,False
80,10,10,1,False
119,14.5,14.5,3.5,False
96.7,13,12.7,7.7,False
34,14,14.5,3.5,False
20,20,20,5,False
29,29,28,7,False
100,10,10,4,True
131.3,12,14,5.7,False
87,11,11,8.5,False
127.5,13.5,14,8.5,False
123,20.5,20.5,11.5,False
205.5,25.5,27.5,7.5,False
350.5,26.5,28.5,8,False
213,35.5,47,11,False
180,25.7,47,11,False
159.7,22.8,47,11,False
351.2,30.8,46,9.5,False
215.5,21.8,36,8.5,False
92.8,20.2,27.8,8.2,False
20,10,10,2,False
65.9,23.3,15.7,18,True
456.3,28.8,15.7,18,True
509.9,17.3,15.7,18,True
275,19.3,14.3,18,True
183.5,19.5,14.3,18,True
77,16.3,14.3,21,True
238.3,46.4,47.1,18.7,True
158.6,19.4,18.3,18.7,True
26,13,18,8,False
43.6,15.2,16.2,8.4,False
60.9,14.6,13.4,10.9,False
112.5,18.4,14.3,12.5,False
244.5,15.7,12.8,10,False
200.5,15,13.8,9.8,False
135.2,16,14.3,11.3,False
175.6,13.5,11.7,12,False
112.8,11.8,13.2,9.4,False
263.5,12.3,13,12,False
253.8,14.5,16,14,False
137.7,14.9,15.9,12.1,False
729,56.1,64,11,True
146.7,26.1,29.3,9.3,True
136.5,26.2,27,9.8,False
33,18,17.5,9.5,False
30,10,9,9,False
300,10,10,9,False
100,25,25,10,True
29.7,12.5,14.5,14,True
133.9,14.6,13.7,11,True
298.8,12.3,12.3,7,False
100.8,12.5,12.5,9.3,False
161,23,22,6,False
276,23,22,6,False
460,23,22,6,False
92,23,22,6,False
69,23,22,6,False
161,23,22,6,False
198,22,22,6,False
198,22,22,6,False
198,22,22,6,False
502.3,25.7,17.7,6,False
595,29,21.6,6.5,False
23,23,24,16,False
431.7,20.7,21.3,10.3,False
301.3,28.5,27.3,9.8,False
575.7,29.2,34.3,9,False
765.3,33.2,34.5,9,(en blanco)
241.5,25.9,25.7,7.2,True
351.7,26.4,30.7,15.3,True
116.3,13.8,13.5,10.3,False
500.3,24,25.8,9.6,True
674.5,31.7,29.8,8.3,False
769,31.7,33.1,10.3,(en blanco)
797.2,34,34.8,9.3,False
216.5,16.6,17.2,8.7,False
482,40.2,18,12,False
248.9,20.8,21,10,False
344.6,21.5,21,10,False
170.5,21.3,21,10,False
25,15,10,8.5,False
40.4,11,14,12,False
10,10,9,10,False
30,10,10,8,False
23.5,11.3,11,8.3,False
425,88.4,89.5,21,True
846,76.9,94,23,True
333,69,79.5,15.5,True
456,76,94,23,True
22,11,10,1,False
408.7,45.9,55,16,True
111.5,36.5,37.5,8,True
382.4,42.6,56.3,13,True
538.1,46.8,55,16,True
80,10,9,3,False
218,9.5,9,3,False
20,20,21,3,True
11,11,11,3,False
11,11,11,4,False
81,16.3,19,19,False
308.8,32,25.8,13.5,False
318.6,23.3,33.8,10.4,False
720,24,25,7,(en blanco)
26,17.7,16.8,8.5,False
127.7,68.7,63,5.7,False
91.3,46.4,47.5,10.8,False
543,46,49.8,10.8,False
460,39,68.7,8.3,False
204,16.7,20.7,9.7,False
93.7,16.7,20,7.5,False
139,19.9,27,24,False
28.5,18.5,16.5,17,False
40,10,10,21,False
40,10,10,21,False
118.6,11,18.5,8,False
38.5,14.3,17,16,False
13,13,13,5,True
65,13,13,9,False
523.9,14,24,8,False
72,18,18,4,True
63,21,18,4,True
29,29,26,11,False
30,10,10,4,False
32.5,9.5,10,4,False
30,10,10,4,False
480,25,10.8,11,False
586.7,25.7,10.8,11,False
305,10,10,4,False
61,11.1,10.5,10.5,False
44,11,10,12,False
24,12,10,12,False
53.5,35.5,26.5,19.5,False
66,11,10,12,False
31.5,10.5,9.5,8.5,False
55,11,10,12,False
49,13,12,7.5,False
43.5,43.5,43,5,False
10,10,9,5,False
42.7,32.7,32,7.3,False
15,15,14,1,True
70,70,70,9,False
60.2,14,14,8,True
519.9,43.8,43.5,14,True
297.1,51.3,50.7,12.3,True
563,38,37.5,10,True
160,41.3,43.5,14,True
96,10.7,10,11,True
207.3,30,32.3,11.7,True
98,10.9,10,11,True
18,12.5,12,13.5,True
303.2,10.9,11,10.5,False
293.4,10.3,10,8.7,False
25.7,10.8,9.7,9,False
534,95.9,100.7,13.3,False
52.5,52.5,51,8,False
310,10,9,7,False
60,10,10,5,True
94.3,64.3,64.3,11.7,False
34,9.8,9.5,6,False
14,14,11,2,False
77,11,10,1,False
146.7,19.7,19,6.7,False
358,22,21,7.7,False
52,26,25,2,False
374.9,11,11,7,False
600,20,20,8,(en blanco)
450,15,20,8,(en blanco)
257.5,14,16.5,4.5,True
40,10,10,5,True
51,10.9,10,4,False
140,46.7,56,19,True
210,35,44,6,False
135,33.8,44,6,False
165,33,25,27,True
110,10,10,4,True
24,24,24,6,False
80,10,10,1,True
252,28,28,7,False
405,17.5,48.5,7.5,True
235,19,39.7,8.3,True
328.7,15.3,35.7,6.3,False
365.5,17.5,48.5,7.5,True
217.9,28.6,37.3,6.3,False
29.7,26,23.7,5.7,False
35,10,10,7,False
224.3,14.3,36.3,7.7,True
168,13.2,26.2,6.6,False
212.6,12.4,26.2,7.2,False
168.5,11.7,23.5,7.5,False
20,10,10,8,True
112.7,13.7,12.7,7,False
151.8,22.8,20,7.5,False
498.1,26.7,18.7,9,False
211.3,19.2,14.2,9.6,False
138.4,23,15.8,9.8,False
116,16.9,15.5,11.4,False
155,18.4,15.4,11.2,False
118.3,22.4,15.8,9.1,False
185.7,17.4,18.9,10.1,False
116.1,16.4,15.4,10.9,False
171.5,18.1,15.3,9.7,False
244,20.6,24,20,False
344,31.3,38,27,False
236.5,22,29.3,19.3,False
185.3,26.5,30.7,21.3,False
213.4,38.2,40.4,16.8,False
438,29.2,39,27.5,False
335.1,30.1,43,18.5,False
321.3,27.4,34.7,20.7,False
247.7,25.7,39,27.5,False
365.4,19.8,25.3,15.3,False
519.8,20.8,26,20.5,False
240,28.4,42.8,17.3,False
67.5,67.5,64,11.5,(en blanco)
14,14,13,12,False
576,24,27,15,False
367.5,32,23,11.5,True
175.5,28.7,23,11.5,True
90,24,23,11.5,True
108,24,23,11.5,True
60,20,19,8,True
40,20,19,8,True
11,11,16,8,False
334,19,17,3,False
150,20,17.5,7,False
129.7,25.7,24.7,12.7,False
32,11.6,11,22.5,False
23,17,15,5,False
47.3,23,24.8,11.3,False
338.5,21.8,23.8,12.8,False
177.3,20.6,26.2,10.8,False
123.9,19.2,21.8,8.2,False
194.9,18,21.6,10.3,False
172.5,19.2,22.6,14.3,False
76.4,14.1,14.8,11.2,False
11,11,10,9,False
22,11,13,15,False
11,11,13,15,False
61.5,10.5,11,12.5,True
84,10.5,9,10,True
39,12,11,12.5,True
70,10,9,10,True
10,10,9,10,True
39,9.8,9,10,True
10,10,9,10,True
83,83,83,2,True
151.3,12.2,10.7,10.3,False
26,13,13,6,False
11,11,11,8,True
13,13,13,6,False
13,13,13,6,False
39,13,13,6,False
26,13,13,6,False
52.5,36,34.5,5.5,False
156,13,10,10,False
38.7,17,10,11,False
80,25.4,22.3,8.5,False
63,10.4,10,11.5,False
82.5,20,22.8,11,False
206.9,16.3,18.5,13,False
72.5,12.5,12.5,7,False
87.3,10.7,10.7,9.3,False
220,10,10,11.5,False
107.8,11.4,12.7,7.3,False
55,18.3,23,32,False
48,24,27.5,25.5,False
32,32,28,9.5,False
108,79,78.5,11.5,False
406.1,34.7,47,22.7,False
13,13,10,9.5,False
39,39,40,10,False
116.4,24.6,32,17.8,False
110,11,10,6,False
76,11.4,10,10,False
77,13.2,11.7,7,False
130,10,10,6,False
187,11,10,6,False
99,11,10,6,False
40,10,10,6,False
90,10,10,6,False
40,10,10,6,False
20,10,10,6,False
40,10,10,6,False
90,10,10,6,False
53,53,48,15,False
85.7,27,22.7,7.3,False
59.5,32.5,29,10.5,False
66,33,30,8,False
49.5,49.5,53,9,False
317.5,105.8,112.5,15,False
364,14,14,12,True
420,14,14,12,True
21,14,13.5,10,False
84,14,14,12,True
824,26.6,30.7,11,(en blanco)
483,19.5,20.9,8.5,False
236.3,21.1,23.2,10.8,False
446,17.5,20.9,8.5,False
88.3,12.7,12.7,4.3,False
33,11,10,8,False
198,22,22,1,False
286,11,9,8,True
72,9,9,8,True
80,16,14,8,True
236,21.5,20,32,False
140.5,11.4,12.5,9,False
40,14.2,14.4,17,False
96,12,15,5,False
211,29.6,15.4,20.6,False
39.8,15,15,21.6,False
82,13.1,15.5,21.5,False
71,22.3,20.3,12.5,False
191.5,18.3,20,11.3,False
256.1,22.2,22.3,15.8,False
231.6,19.5,19.3,12.5,False
198.1,29,26.2,14.6,False
440.5,22.5,28,15.5,False
380.4,22.5,25.3,13.3,True
312.6,30.3,32.2,13.4,False
352.7,18.8,21.7,13,True
241.4,22.2,24,11.7,True
526.4,29.6,31.5,9,True
273,18.4,23,12.8,False
21,21,20,3,True
680,40,40,10,(en blanco)
460,30,29,16,(en blanco)
499,35.5,29,16,(en blanco)
1071,51,40,10,(en blanco)
1020,51,40,10,(en blanco)
1582,51,40,10,(en blanco)
1240,40,40,10,(en blanco)
1200,40,40,10,(en blanco)
1240,40,40,10,(en blanco)
600,40,40,10,(en blanco)
40,40,40,10,(en blanco)
305,16.9,20,10,False
320,21.3,20,10,False
115,23,20,10,False
690,23,20,10,False
147.5,21,19.5,9.5,False
391,23,20,10,False
84,14,14,3,True
126,21,20,10,False
589,19,20,10,False
236,38,38.5,8.5,False
139.5,19.5,19.5,9.5,False
644,35.8,47,13,False
466,33.3,47,13,False
665,35,47,13,False
749,37.5,47,13,False
139.8,28.3,31,10.5,False
101.7,35.4,37.7,10.3,False
329,27.4,42,13,False
319,35.4,42,13,False
313,39.1,42,13,False
767,34.9,42,13,False
302.8,32.3,33,9,False
410.3,38.9,43.5,17,False
159.1,10.5,10,7.5,False
751.7,11,10,6,False
474.8,11,10,6,False
118.8,13.7,13.3,9,False
11,11,10,3,True
92.8,10.3,10,7,True
127.2,10.6,10,7,True
35.5,10.5,10.5,4.5,False
155,10,10,7,False
50,10,10,7,False
133.3,19.2,18,6.7,False
85,15,13.5,6,False
255,15,13,8,False
255,15,13,8,False
154,14,13,8,False
36.7,11.7,12.3,4.7,False
28,11.5,11,6.8,False
96.5,11.3,12.5,7.5,False
74.6,12.4,14,7,False
21.4,10.7,14,7,False
25,25,22,4,False
20,10,9,8,False
55.8,12.5,12,8.3,False
131.8,11.8,12.2,6.7,False
85,10.4,11,7.3,False
224,10.1,9.8,7.5,False
576.9,28.3,27.7,12.2,False
421,30.2,29.1,11.1,False
441.3,27.7,24.7,10.3,True
405,28.1,26.9,11.9,True
307,28.9,28.8,10.6,True
264.2,27.6,26.1,10.1,True
445.6,28.8,26.5,11,True
547,29.7,29.4,11.4,True
556.7,27.9,23.9,10.5,True
686.9,25.7,24.9,10.2,True
658.9,26.7,27.2,10,True
691.4,27.3,28.3,10.7,True
364.2,30.7,31.8,19.1,False
542.4,32.7,29.7,23,False
441.2,29.8,28.2,22.7,False
492,32.6,32.9,21.6,False
523.9,29.1,28.9,18.7,False
281,27.9,29.9,18.9,False
531.4,28.2,30.1,21.7,False
488.9,27.2,32.7,21,False
489.8,30.5,34.1,21.1,False
450.7,27.4,31.8,17.9,False
657.2,34.4,39.2,19.8,False
355.4,24.5,28.1,14.9,False
85,17,25,3,False
115,11.5,16,4,True
189,21,20,16,False
105,21,20,16,False
60,20,20,16,False
77,11,13,4,False
59,11.8,13,4,False
253.7,21.1,33,17,True
133.3,22.2,33,17,True
90,30,30,8,False
519,45.8,43,12.1,False
412.3,44.2,42.3,12.7,False
522.5,48.2,45,12.2,False
389.6,44.1,43.3,10.9,False
330.8,42.1,40.4,10.9,False
358.7,39.1,39.1,12.1,False
382.5,31.9,34.5,12.2,False
394,34,34,11.6,False
397.7,35.5,36.3,13.3,False
542.8,35.3,37.6,13,False
392.4,32.4,34.6,10.4,False
412.5,35.5,38.2,10.5,False
391.5,27.8,31.8,12.8,True
440.8,38.3,36.3,10.8,False
489.7,50,46,11.9,False
286.1,29.5,30.7,8.4,False
333.5,24.2,25.1,8,False
320.8,21.8,24.5,8.3,False
192.8,19.5,22,9.7,False
238.4,21,22.6,10,False
578.1,27,30.4,9.5,True
342.8,28.5,31.4,8.4,False
795,49.8,43.8,9.3,False
633.3,37.1,39.9,8.9,False
410.8,34.8,35,8.3,False
284.9,26.2,28.4,10.4,False
147.4,20,18.3,8.4,False
203.1,20.2,21.4,9.3,False
320.8,22.7,26.8,9.6,False
276.5,25.3,27.7,8.4,False
413.6,31.7,33.7,10.6,False
322,24.9,29.3,10.8,False
494.5,22.3,28.8,12.4,False
108,12,12,10,False
84,12,12,10,False
84,12,12,10,False
450,75,78,1,True
518,74,78,1,True
209.7,37.3,29.3,19,True
44,11,10,21,True
22,11,10,21,True
154,11,10,21,True
137,16.8,14.5,12,True
1012,46,45,34,True
37,18.5,15,3,False
589.1,68.2,72.4,19.3,False
528.1,63.2,78.4,21.6,False
351.6,52.8,45.1,28,False
417.5,50.9,59.4,23.3,False
462,53.3,58.1,19.5,False
436,53.2,50.8,23.9,False
624.3,55.2,52.7,21.4,False
324.7,50.7,52.8,20,False
400.8,42.9,48,17.5,False
1871.8,88.9,95.8,21.7,False
383.3,34.7,37.2,19.5,False
386,34.3,37.2,16.9,False
703.3,32,35.4,16.9,False
409.2,38,40.2,15.7,False
325.4,25.3,29.5,11.6,False
223.4,44.4,45.5,12.3,False
268.9,28.7,30.7,11.5,False
356,32.6,33.8,12.6,False
396.8,34.7,36.8,14.3,False
453.1,32,34.9,15.5,False
462.7,28.1,32.3,17.2,False
396.5,35,36.8,14.9,False
319.6,28.2,32.2,16.2,False
349.5,27.9,41,21.5,False
105,35,19,18,False
186,62,68,13,True
295,59,68,13,True
173.1,57.7,68,13,True
326,59.5,65.5,19,False
422,46.9,63,25,False
46.5,32.8,35,12.3,False
26,26,26,8,False
380.7,33.3,36.5,16.5,False
432.2,24.2,24.7,15,False
318.2,24.7,26.1,13.8,False
194,28,35.1,15.2,False
149.5,20.9,23.7,11.5,False
317.7,32.6,35.5,21.6,False
479.8,27.3,31,15.9,False
289.9,27.6,30.4,16.7,False
91.4,18.2,21.3,12.9,False
136.6,18.6,21.1,11.7,False
176.7,21.9,25.5,11.1,False
119.2,27.5,21.5,12.7,False
433,33.7,39.6,15.1,False
507.1,36.8,39.3,14.9,False
577.2,38.9,42.7,15.4,False
342.4,42.1,42.4,14.4,False
356.6,31.3,67.5,11.4,False
451.8,36.8,66.6,12.1,False
564.8,37,67.3,12.2,False
653.1,34.7,39.4,11,False
554.4,32.8,42.1,10.9,False
400.8,28.1,34.3,13,False
382,34.8,35.4,11.2,False
360.7,36.9,35.4,17.5,False
546.9,48.1,55.1,17.6,False
597.6,53.3,59.5,19.2,False
658.8,46.6,52,15.8,False
562.4,41,43.3,18.5,False
484.2,45.7,51.3,17.8,False
611.4,45.3,49.5,15.8,False
571.3,43.2,45.1,16.6,False
754.7,43.7,48.2,16.7,False
608.2,40.3,45.4,19.7,False
606.9,34.3,40.7,15.5,False
526.9,34.2,38.9,16.3,False
402.8,30.9,36,17.3,False
80,13.3,14,9,False
282,16.6,14,9,False
231,21,14,9,False
480,20,14,9,False
67,16.8,14,9,False
450,15,14,9,False
324,18,14,9,False
180,12,10,5,False
264,12,10,5,False
72,12,10,5,False
312,12,10,5,False
60,12,10,5,False
44,11,10,5,False
88,11,10,5,False
90,10,10,5,False
1511,54,10,5.5,False
10,10,10,5,False
308.9,50,54.4,14.9,False
198.9,31,32.3,13.3,False
242.5,26.8,27.7,12.6,False
320.4,20.3,20.4,11.1,False
162.8,22.9,19.2,10.2,False
227.2,25.8,26.7,16.3,False
286,28.2,31.2,14.4,False
257.1,22.4,24.2,13.9,False
235.8,22.8,25,16.6,False
271.3,19.6,25,16.2,False
